Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Opel Insignia,['2010'],Universalas,2400,Dyzelinas,Mechaninė,"2.0 l.,         96  kW",248879,Vilnius
Opel Meriva,['2006'],Vienatūris,2400,Dyzelinas,Mechaninė,"1.3 l.,         55  kW",277624,Kaunas
Opel Astra,['2007-08'],Kupė (Coupe),2450,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",238000,Kaunas
Opel Frontera,['1999'],Visureigis / Krosoveris,2450,Dyzelinas,Mechaninė,"2.2 l.,         85  kW",320000,Jurbarkas
Opel Corsa,['2011-11'],Hečbekas,2499,Dyzelinas,Mechaninė,"1.3 l.,         55  kW",220000,Jurbarkas
Opel Astra,['2004-11'],Hečbekas,2499,Benzinas,Automatinė,"1.6 l.,         77  kW",139976,Kretinga
Opel Vectra,['2007-11'],Universalas,2500,Dyzelinas,Automatinė,"1.9 l.,         110  kW",271207,Kėdainiai
Opel Zafira,['2008-04'],Vienatūris,2500,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",280000,Tauragė
Opel Zafira,['2007-12'],Vienatūris,2550,Dyzelinas,Automatinė,"1.9 l.,         88  kW",330000,Kaunas
Opel Antara,['2007-12'],Visureigis / Krosoveris,2550,Dyzelinas,Mechaninė,"2.0 l.,         110  kW",190000,Šiauliai
Opel Insignia,['2009'],Sedanas,2598,Dyzelinas,Automatinė,"2.0 l.,         96  kW",328622,Vilnius
Opel Zafira,['2005-08'],Vienatūris,2600,Dyzelinas,Mechaninė,"1.9 l.,         110  kW",258144,Kėdainiai
Opel Astra,['2010-09'],Hečbekas,2600,Benzinas,Mechaninė,"1.4 l.,         103  kW",160000,Kaunas
Opel Frontera,['2002'],Visureigis / Krosoveris,2650,Dyzelinas,Mechaninė,"2.2 l.,         88  kW",288730,Vilnius
Opel Zafira,['2011-03'],Vienatūris,2650,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",191000,Biržai
Opel Corsa,['2012'],Hečbekas,2699,Benzinas,Mechaninė,"1.2 l.,         63  kW",160000,Rokiškis
Opel Kadett,['1991-07'],Kabrioletas,2700,Benzinas,Automatinė,"1.6 l.,         55  kW",106000,Kaunas
