Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Honda Civic,['2009'],Hečbekas,2850,Dyzelinas,Mechaninė,"2.2 l.,         103  kW",239400,Tauragė
Honda Civic,['2007-03'],Hečbekas,2900,Benzinas,Mechaninė,"1.8 l.,         103  kW",125480,Vilnius
Honda Civic,['2011'],Hečbekas,2900,Dyzelinas,Mechaninė,"2.2 l.,         103  kW",290000,Tauragė
Honda Civic,['2008'],Hečbekas,2900,Benzinas,Automatinė,"1.8 l.,         103  kW",257464,Vilkaviškis
Honda Civic,['2007-07'],Hečbekas,2950,Benzinas,Mechaninė,"1.3 l.,         61  kW",226852,Prienai
Honda Civic,['2013-06'],Hečbekas,2995,Dyzelinas,Mechaninė,"1.6 l.,         88  kW",187600,Kaunas
Honda Civic,['2007'],Hečbekas,2995,Benzinas,Automatinė,"1.3 l.,         61  kW",212824,Kretinga
Honda Civic,['2008'],Sedanas,3000,Benzinas / elektra,Automatinė,"1.3 l.,         70  kW",190000,Kaunas
Honda Civic,['2009-10'],Hečbekas,3200,Dyzelinas,Mechaninė,"2.2 l.,         103  kW",289000,Vilnius
Honda Civic,['2009'],Sedanas,3500,Benzinas / dujos,Automatinė,"1.8 l.,         103  kW",185000,Vilnius
Honda Civic,['2008'],Hečbekas,3900,Benzinas,Mechaninė,"1.8 l.,         103  kW",162532,Tauragė
Honda Civic,['2008'],Sedanas,4150,Benzinas / elektra,Automatinė,"1.3 l.,         70  kW",228000,Vilnius
Honda Civic,['2007'],Hečbekas,4500,Benzinas,Automatinė,"1.8 l.,         103  kW",148000,Vilnius
Honda Civic,['2012-01'],Hečbekas,4900,Dyzelinas,Mechaninė,"2.2 l.,         110  kW",266200,Tauragė
Honda Civic,['2011'],Hečbekas,4950,Benzinas,Mechaninė,"1.3 l.,         74  kW",220000,Šiauliai
Honda Civic,['2011-03'],Hečbekas,5300,Dyzelinas,Mechaninė,"2.2 l.,         103  kW",145000,Šiauliai
Honda Civic,['2007-07'],Hečbekas,5600,Benzinas,Mechaninė,"2.0 l.,         148  kW",209141,Vilnius
