Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Opel Astra,2009,Hečbekas,2800,Dyzelinas,Mechaninė,218585,Kėdainiai,1700,81
Opel Astra,2007,Kabrioletas,2800,Benzinas,Mechaninė,196000,Marijampolė,1800,103
Opel Insignia,2012,Universalas,2800,Dyzelinas,Automatinė,286202,Vilnius,2000,118
Opel Zafira,2008,Vienatūris,2899,Benzinas / dujos,Mechaninė,215000,Kretinga,1600,69
Opel Insignia,2011,Universalas,2950,Dyzelinas,Automatinė,395000,Klaipėda,2000,118
Opel Zafira,2010,Vienatūris,2950,Benzinas,Mechaninė,224301,Marijampolė,1800,103
Opel Corsa,2013,Hečbekas,2990,Dyzelinas,Mechaninė,179000,Utena,1300,55
Opel Astra,2011,Universalas,3000,Dyzelinas,Mechaninė,309960,Vilnius,1700,92
Opel Meriva,2010,Hečbekas,3000,Dyzelinas,Automatinė,283962,Vilnius,1700,74
Opel Zafira,2011,Vienatūris,3100,Dyzelinas,Mechaninė,287000,Utena,1700,81
Opel Insignia,2011,Universalas,3100,Dyzelinas,Mechaninė,270000,Utena,2000,96
Opel Zafira,2008,Vienatūris,3100,Dyzelinas,Mechaninė,420000,Utena,1900,110
Opel Vivaro,2008,Vienatūris,3190,Dyzelinas,Mechaninė,252000,Klaipėda,2000,84
Opel Zafira,2010,Vienatūris,3199,Dyzelinas,Mechaninė,164000,Jurbarkas,1700,81
Opel Insignia,2011,Universalas,3200,Dyzelinas,Mechaninė,299214,Vilnius,2000,96
Opel Astra,2010,Hečbekas,3200,Dyzelinas,Mechaninė,245000,Šiauliai,1700,92
Opel Insignia,2011,Universalas,3300,Dyzelinas,Mechaninė,297450,Vilnius,2000,96
Opel Insignia,2011,Universalas,3300,Dyzelinas,Mechaninė,363268,Vilnius,2000,118
Opel Zafira,2008,Vienatūris,3300,Dyzelinas,Mechaninė,200000,Utena,1700,92
Opel Antara,2010,Visureigis / Krosoveris,3300,Dyzelinas,Mechaninė,237745,Vilnius,2000,110
Opel Astra,2010,Hečbekas,3330,Benzinas,Mechaninė,180000,Marijampolė,1600,85
Opel Zafira,2008,Vienatūris,3350,Benzinas,Automatinė,204000,Ukmergė,2200,110
Opel Antara,2007,Visureigis / Krosoveris,3400,Dyzelinas,Mechaninė,250000,Kaunas,2000,110
Opel Insignia,2010,Universalas,3400,Dyzelinas,Mechaninė,291232,Vilnius,2000,118
Opel Antara,2007,Visureigis / Krosoveris,3400,Dyzelinas,Mechaninė,182000,Kaunas,2000,110
Opel Zafira,2008,Vienatūris,3450,Benzinas,Mechaninė,249171,Mažeikiai,1600,85
Opel Astra,2011,Universalas,3490,Dyzelinas,Mechaninė,255000,Kaunas,1700,81
Opel Insignia,2009,Universalas,3500,Dyzelinas,Automatinė,310000,Vilnius,2000,120
