Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Hyundai i30,['2022-03'],Universalas,14200,Dyzelinas,Automatinė,"1.6 l.,         85  kW",125000,Panevėžys
Hyundai i30,['2022-09'],Universalas,15500,Benzinas,Automatinė,"1.0 l.,         88  kW",35100,Klaipėda
Hyundai i30,['2019-06'],Hečbekas,18500,Benzinas,Mechaninė,"2.0 l.,         202  kW",94990,Vilnius
Hyundai i30,['2018'],Hečbekas,19000,Benzinas,Mechaninė,"2.0 l.,         202  kW",71000,Vilnius
Hyundai i30,['2008-06'],Hečbekas,1650,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",234080,Jonava
Hyundai i30,['2008'],Hečbekas,1650,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",256000,Vilnius
Hyundai i30,['2010-11'],Hečbekas,1950,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",222000,Klaipėda
Hyundai i30,['2009-05'],Hečbekas,1950,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",268000,Vilnius
Hyundai i30,['2010-10'],Universalas,2200,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",206000,Tauragė
Hyundai i30,['2019-01'],Hečbekas,2200,Benzinas,Mechaninė,"1.0 l.,         88  kW",61946,Širvintos
Hyundai i30,['2008-05'],Hečbekas,2300,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",320555,Vilnius
Hyundai i30,['2012-12'],Hečbekas,2450,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",375726,Kaunas
Hyundai i30,['2010-04'],Hečbekas,2500,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",239615,Jonava
Hyundai i30,['2008'],Hečbekas,2600,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",380000,Vilnius
Hyundai i30,['2011-03'],Hečbekas,2650,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",227008,Vilnius
Hyundai i30,['2010-07'],Hečbekas,2650,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",173047,Šiauliai
Hyundai i30,['2010-09'],Universalas,2750,Benzinas / dujos,Mechaninė,"1.4 l.,         80  kW",277680,Klaipėda
Hyundai i30,['2013'],Hečbekas,2800,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",254000,Tauragė
Hyundai i30,['2012-10'],Universalas,2800,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",205000,Kaunas
Hyundai i30,['2011-04'],Universalas,2800,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",271000,Ukmergė
Hyundai i30,['2011-05'],Universalas,2900,Dyzelinas,Mechaninė,"1.6 l.,         85  kW",165320,Šilutė
Hyundai i30,['2009-10'],Universalas,2900,Dyzelinas,Automatinė,"1.6 l.,         85  kW",239843,Kuršėnai
Hyundai i30,['2011-09'],Universalas,2950,Benzinas / dujos,Mechaninė,"1.4 l.,         80  kW",239359,Kaunas
Hyundai i30,['2011-05'],Hečbekas,3000,Benzinas,Mechaninė,"1.4 l.,         80  kW",154551,Vilnius
Hyundai i30,['2011-05'],Universalas,3000,Benzinas,Mechaninė,"1.4 l.,         80  kW",187000,Vilnius
Hyundai i30,['2011-09'],Hečbekas,3100,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",233100,Vilnius
Hyundai i30,['2015-01'],Hečbekas,3450,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",152976,Marijampolė
Hyundai i30,['2011-05'],Hečbekas,3700,Benzinas,Mechaninė,"1.4 l.,         80  kW",160000,Prienai
Hyundai i30,['2011-05'],Universalas,3750,Benzinas,Mechaninė,"1.4 l.,         80  kW",183245,Kretinga
Hyundai i30,['2010'],Universalas,4100,Dyzelinas,Mechaninė,"1.6 l.,         66  kW",139500,Vilnius
Hyundai i30,['2014-06'],Kupė (Coupe),4800,Dyzelinas,Mechaninė,"1.6 l.,         94  kW",230000,Marijampolė
Hyundai i30,['2014'],Hečbekas,5000,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",210000,Kaunas
Hyundai i30,['2013-07'],Universalas,5500,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",188000,Kaunas
Hyundai i30,['2012-04'],Hečbekas,5900,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",166000,Radviliškis
Hyundai i30,['2013-08'],Hečbekas,5950,Dyzelinas,Mechaninė,"1.4 l.,         66  kW",172200,Radviliškis
Hyundai i30,['2013-02'],Hečbekas,6000,Benzinas,Mechaninė,"1.4 l.,         73  kW",126000,Klaipėda
