Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Skoda Octavia,2016,Universalas,7500.0,Dyzelinas,Mechaninė,153000,Vilnius,1600,81
Skoda Octavia,2015,Universalas,7700.0,Dyzelinas,Automatinė,258000,Pakruojis,2000,110
Skoda Octavia,2014,Universalas,7750.0,Dyzelinas,Mechaninė,236522,Alytus,1600,77
Skoda Octavia,2010,Universalas,7900.0,Dyzelinas,Mechaninė,233851,Vilnius,1600,77
Skoda Octavia,2013,Hečbekas,8300.0,Dyzelinas,Automatinė,265985,Elektrėnai,2000,110
Skoda Octavia,2017,Hečbekas,8490.0,Dyzelinas,Mechaninė,235000,Vilnius,1600,85
Skoda Octavia,2014,Universalas,8800.0,Dyzelinas,Automatinė,240000,Tauragė,2000,135
Skoda Octavia,2018,Sedanas,8900.0,Dyzelinas,Mechaninė,119000,Vilnius,1600,85
Skoda Octavia,2014,Universalas,8900.0,Dyzelinas,Mechaninė,192500,Marijampolė,2000,110
Skoda Octavia,2016,Hečbekas,8950.0,Dyzelinas,Mechaninė,255555,Vilnius,1600,77
Skoda Octavia,2013,Universalas,8950.0,Dyzelinas,Automatinė,293000,Vilnius,2000,110
Skoda Octavia,2016,Kita,8990.0,Dyzelinas,Mechaninė,256000,Vilnius,2000,135
Skoda Octavia,2017,Universalas,8999.0,Dyzelinas,Automatinė,349000,Marijampolė,2000,110
Skoda Octavia,2019,Universalas,9200.0,Dyzelinas,Mechaninė,304000,Kaunas,1600,85
Skoda Octavia,2016,Universalas,9250.0,Dyzelinas,Automatinė,284000,Klaipėda,2000,110
Skoda Octavia,2018,Universalas,9300.0,Dyzelinas,Mechaninė,218000,Vilnius,1600,85
Skoda Octavia,2018,Universalas,9317.0,Dyzelinas,Mechaninė,275000,Kaunas,1600,85
Skoda Octavia,2014,Universalas,9500.0,Dyzelinas,Automatinė,200000,Marijampolė,2000,110
Skoda Octavia,2018,Universalas,9559.0,Dyzelinas,Mechaninė,210000,Kaunas,1600,85
Skoda Octavia,2018,Sedanas,9559.0,Benzinas,Mechaninė,192000,Kaunas,1000,85
Skoda Octavia,2018,Universalas,9680.0,Dyzelinas,Mechaninė,222800,Marijampolė,1600,85
Skoda Octavia,2018,Universalas,9699.0,Dyzelinas,Automatinė,192000,Jurbarkas,2000,110
