Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Opel Astra,['2015-05'],Universalas,5999,Dyzelinas,Mechaninė,"2.0 l.,         121  kW",268478,Kretinga
Opel Astra,['2016-09'],Sedanas,6500,Benzinas,Mechaninė,"1.4 l.,         103  kW",100102,Plungė
Opel Astra,['2006-11'],Hečbekas,6550,Benzinas,Mechaninė,"2.0 l.,         180  kW",170000,Kaunas
Opel Astra,['2016-06'],Universalas,6750,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",246000,Kaunas
Opel Astra,['2017-10'],Universalas,6897,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",188000,Kaunas
Opel Astra,['2018-01'],Universalas,6950,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",232000,Kaunas
Opel Astra,['2019-03'],Universalas,7750,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",202000,Kretinga
Opel Astra,['2016-02'],Hečbekas,7950,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",134946,Kaunas
Opel Astra,['2017-12'],Hečbekas,8000,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",193305,Tauragė
Opel Astra,['2016'],Universalas,8100,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",216599,Vilnius
Opel Astra,['2018-02'],Universalas,8349,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",197000,Kaunas
Opel Astra,['2018-03'],Universalas,8349,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",213000,Kaunas
Opel Astra,['2019-07'],Universalas,8349,Benzinas,Mechaninė,"1.0 l.,         77  kW",188000,Kaunas
Opel Astra,['2019-01'],Universalas,8400,Benzinas,Mechaninė,"1.4 l.,         110  kW",200252,Kaunas
Opel Astra,['2019-03'],Hečbekas,8469,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",139000,Kaunas
Opel Astra,['2020-08'],Universalas,8550,Dyzelinas,Mechaninė,"1.5 l.,         77  kW",214000,Kretinga
Opel Astra,['2020-09'],Hečbekas,8591,Dyzelinas,Mechaninė,"1.5 l.,         77  kW",189900,Vilnius
Opel Astra,['2019-06'],Universalas,8750,Dyzelinas,Mechaninė,"1.6 l.,         81  kW",144000,Rokiškis
Opel Astra,['2019-02'],Universalas,8798,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",145000,Marijampolė
Opel Astra,['2017'],Hečbekas,8900,Dyzelinas,Mechaninė,"1.6 l.,         70  kW",188961,Kaunas
Opel Astra,['2019-12'],Universalas,8900,Dyzelinas,Automatinė,"1.5 l.,         90  kW",152000,Kaunas
Opel Astra,['2019-10'],Universalas,8954,Benzinas,Mechaninė,"1.0 l.,         77  kW",158000,Kaunas
Opel Astra,['2017-06'],Universalas,9000,Dyzelinas,Mechaninė,"1.6 l.,         100  kW",200500,Kaunas
Opel Astra,['2019-12'],Universalas,9063,Dyzelinas,Mechaninė,"1.5 l.,         90  kW",198267,Marijampolė
Opel Astra,['2020-05'],Universalas,9100,Dyzelinas,Mechaninė,"1.5 l.,         90  kW",239000,Vilnius
Opel Astra,['2020-10'],Universalas,9317,Benzinas,Mechaninė,"1.2 l.,         81  kW",183000,Kaunas
Opel Astra,['2016-08'],Hečbekas,9500,Benzinas,Automatinė,"1.0 l.,         77  kW",165996,Klaipėda
Opel Astra,['2020-12'],Universalas,9500,Benzinas,Mechaninė,"1.2 l.,         107  kW",188600,Marijampolė
Opel Astra,['2020-05'],Universalas,10648,Dyzelinas,Mechaninė,"1.5 l.,         90  kW",155000,Marijampolė
Opel Astra,['2020-04'],Universalas,10650,Dyzelinas,Mechaninė,"1.5 l.,         90  kW",142387,Vilnius
Opel Astra,['2020-12'],Universalas,10709,Dyzelinas,Automatinė,"1.5 l.,         90  kW",179300,Vilnius
Opel Astra,['2020-12'],Universalas,10850,Dyzelinas,Automatinė,"1.5 l.,         90  kW",147000,Vilnius
Opel Astra,['2018-05'],Universalas,10900,Dyzelinas,Automatinė,"1.6 l.,         100  kW",83939,Vilnius
Opel Astra,['2017-05'],Hečbekas,10900,Benzinas,Mechaninė,"1.6 l.,         147  kW",127838,Vilnius
Opel Astra,['2020-08'],Hečbekas,10900,Benzinas,Mechaninė,"1.2 l.,         96  kW",55000,Telšiai
Opel Astra,['2017-03'],Universalas,12551,Benzinas,Automatinė,"1.4 l.,         110  kW",149930,Klaipėda
Opel Astra,['2020-10'],Universalas,12693,Dyzelinas,Automatinė,"1.5 l.,         90  kW",111600,Vilnius
Opel Astra,['2016-04'],Hečbekas,23490,Benzinas,Mechaninė,"2.0 l.,         206  kW",32000,Vilnius
Opel Astra,['1999-04'],Hečbekas,300,Dyzelinas,Mechaninė,"2.0 l.,         60  kW",351780,Vilnius
Opel Astra,['2004'],Sedanas,350,Dyzelinas,Mechaninė,"1.7 l.,         55  kW",289472,Kaunas
Opel Astra,['1998-11'],Sedanas,450,Benzinas / dujos,Automatinė,"1.6 l.,         55  kW",201000,Vilnius
Opel Astra,['2002'],Hečbekas,450,Dyzelinas,Mechaninė,"2.0 l.,         74  kW",203664,Vilnius
Opel Astra,['2004-07'],Universalas,475,Dyzelinas,Mechaninė,"1.7 l.,         55  kW",200000,Šiauliai
Opel Astra,['2000'],Sedanas,550,Benzinas,Mechaninė,"1.6 l.,         55  kW",222679,Kaunas
Opel Astra,['2005-03'],Universalas,550,Dyzelinas,Mechaninė,"1.7 l.,",359000,Vilnius
Opel Astra,['1999-09'],Hečbekas,550,Benzinas,Automatinė,"1.8 l.,         85  kW",254100,Kaunas
Opel Astra,['2000-12'],Universalas,600,Benzinas,Mechaninė,"1.4 l.,         66  kW",282000,Kaunas
Opel Astra,['2004'],Hečbekas,650,Dyzelinas,Mechaninė,"2.2 l.,         92  kW",297000,Vilnius
Opel Astra,['2002-04'],Hečbekas,650,Dyzelinas,Automatinė,"2.0 l.,         60  kW",276000,Vilnius
Opel Astra,['2004-07'],Hečbekas,700,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",250000,Šiauliai
Opel Astra,['2002'],Hečbekas,700,Dyzelinas,Mechaninė,"2.0 l.,         74  kW",315000,Vilnius
Opel Astra,['2004'],Universalas,700,Dyzelinas,Mechaninė,"1.9 l.,         74  kW",220000,Šilutė
Opel Astra,['2000-09'],Universalas,700,Dyzelinas,Mechaninė,"2.0 l.,         74  kW",25654,Panevėžys
Opel Astra,['2003-06'],Hečbekas,750,Benzinas,Mechaninė,"1.6 l.,         63  kW",125600,Vilnius
Opel Astra,['2000-03'],Hečbekas,750,Dyzelinas,Mechaninė,"2.0 l.,         60  kW",380800,Lazdijai
Opel Astra,['2007'],Hečbekas,750,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",240000,Širvintos
Opel Astra,['2005-08'],Universalas,800,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",309000,Vilnius
Opel Astra,['2006-07'],Universalas,800,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",241000,Vilnius
Opel Astra,['2002-04'],Sedanas,900,Benzinas,Mechaninė,"1.6 l.,         63  kW",197242,Vilnius
Opel Astra,['2006-09'],Universalas,900,Dyzelinas,Mechaninė,"1.9 l.,",353782,Mažeikiai
Opel Astra,['2002-04'],Hečbekas,950,Benzinas,Automatinė,"1.6 l.,         62  kW",101235,Marijampolė
Opel Astra,['2006'],Hečbekas,995,Dyzelinas,Mechaninė,"1.7 l.,         59  kW",306700,Kretinga
Opel Astra,['2003-09'],Kupė (Coupe),999,Dyzelinas,Mechaninė,"2.2 l.,         92  kW",310000,Švenčionys
Opel Astra,['2008-04'],Hečbekas,999,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",465623,Šiauliai
Opel Astra,['2006-10'],Hečbekas,1000,Dyzelinas,Automatinė,"1.9 l.,         88  kW",310000,Klaipėda
Opel Astra,['2006-12'],Hečbekas,1000,Dyzelinas,Mechaninė,"1.7 l.,         74  kW",312490,Panevėžys
Opel Astra,['2004-12'],Hečbekas,1000,Dyzelinas,Mechaninė,"1.9 l.,         110  kW",260000,Kaunas
Opel Astra,['2011-12'],Universalas,1000,Dyzelinas,Mechaninė,"1.3 l.,         70  kW",250000,Tauragė
Opel Astra,['2006-09'],Hečbekas,1050,Dyzelinas,Mechaninė,"1.9 l.,         74  kW",280321,Alytus
Opel Astra,['2002-11'],Hečbekas,1100,Benzinas,Mechaninė,"1.6 l.,         74  kW",87102,Marijampolė
Opel Astra,['2006'],Hečbekas,1100,Dyzelinas,Mechaninė,"1.9 l.,         74  kW",278055,Jonava
Opel Astra,['2007'],Universalas,1100,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",390000,Kaunas
Opel Astra,['2005'],Universalas,1100,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",303000,Jurbarkas
Opel Astra,['2002-04'],Hečbekas,1150,Benzinas,Mechaninė,"1.4 l.,         66  kW",203406,Klaipėda
Opel Astra,['2003-07'],Hečbekas,1150,Benzinas,Mechaninė,"1.6 l.,         62  kW",210000,Marijampolė
Opel Astra,['2004-05'],Universalas,1150,Dyzelinas,Mechaninė,"1.7 l.,         55  kW",340000,Kaunas
Opel Astra,['2008-12'],Hečbekas,1185,Benzinas,Mechaninė,"1.4 l.,         66  kW",252752,Kaunas
Opel Astra,['2005-08'],Hečbekas,1300,Benzinas,Mechaninė,"1.6 l.,         77  kW",218440,Vilnius
Opel Astra,['2013-11'],Hečbekas,1300,Dyzelinas,Mechaninė,"1.7 l.,         96  kW",208932,Kaunas
Opel Astra,['2006-11'],Universalas,1300,Benzinas,Mechaninė,"1.6 l.,         77  kW",161500,Vilnius
Opel Astra,['2008-06'],Hečbekas,1300,Benzinas,Mechaninė,"1.6 l.,         85  kW",237870,Kaunas
Opel Astra,['2005'],Hečbekas,1300,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",395000,Panevėžys
Opel Astra,['2005-06'],Kupė (Coupe),1300,Dyzelinas,Mechaninė,"1.9 l.,         110  kW",291558,Ukmergė
Opel Astra,['2004-03'],Hečbekas,1300,Benzinas,Mechaninė,"1.6 l.,         77  kW",143295,Vilnius
Opel Astra,['2007-04'],Hečbekas,1350,Benzinas,Mechaninė,"1.4 l.,         66  kW",306000,Panevėžys
Opel Astra,['2001'],Hečbekas,1400,Dyzelinas,Mechaninė,"1.7 l.,         55  kW",403333,Vilnius
Opel Astra,['2005-01'],Hečbekas,1400,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",350000,Kaunas
Opel Astra,['2002'],Universalas,1400,Benzinas,Mechaninė,"1.6 l.,",298227,Marijampolė
Opel Astra,['2001-04'],Universalas,1400,Benzinas,Automatinė,"1.6 l.,         74  kW",210000,Alytus
