Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Renault Megane,2011,Universalas,2750.0,Dyzelinas,Mechaninė,282000,Alytus,1900,96
Renault Megane,2008,Kabrioletas,2800.0,Benzinas,Automatinė,268000,Klaipėda,2000,99
Renault Megane,2004,Kabrioletas,2800.0,Dyzelinas,Mechaninė,188500,Klaipėda,1900,88
Renault Megane,2011,Universalas,2800.0,Dyzelinas,Mechaninė,265000,Prienai,1500,78
Renault Megane,2010,Universalas,2800.0,Dyzelinas,Mechaninė,302000,Tauragė,1500,66
Renault Megane,2009,Universalas,2850.0,Dyzelinas,Mechaninė,326000,Kaišiadorys,1900,96
Renault Megane,2012,Hečbekas,2950.0,Benzinas,Mechaninė,170000,Tauragė,1200,85
Renault Megane,2011,Universalas,2999.0,Dyzelinas,Mechaninė,202797,Marijampolė,1500,78
Renault Megane,2010,Hečbekas,3000.0,Dyzelinas,Mechaninė,251448,Joniškis,1500,81
Renault Megane,2008,Kabrioletas,3150.0,Benzinas,Mechaninė,178000,Radviliškis,2000,99
Renault Megane,2009,Hečbekas,3200.0,Dyzelinas,Mechaninė,185000,Klaipėda,1500,81
Renault Megane,2009,Universalas,3400.0,Dyzelinas,Mechaninė,268700,Šiauliai,1900,96
Renault Megane,2011,Universalas,3400.0,Dyzelinas,Mechaninė,229000,Alytus,1500,81
Renault Megane,2010,Kupė (Coupe),3450.0,Benzinas,Mechaninė,198537,Vilnius,1600,81
Renault Megane,2013,Universalas,3600.0,Dyzelinas,Mechaninė,258900,Molėtai,1500,81
Renault Megane,2013,Universalas,3600.0,Dyzelinas,Mechaninė,200000,Kaunas,1500,81
Renault Megane,2013,Universalas,3600.0,Dyzelinas,Mechaninė,210000,Marijampolė,1500,66
Renault Megane,2005,Kabrioletas,3900.0,Benzinas / dujos,Mechaninė,262000,Vilnius,2000,120
Renault Megane,2014,Hečbekas,3900.0,Dyzelinas,Mechaninė,248809,Tauragė,1500,66
Renault Megane,2014,Hečbekas,3950.0,Dyzelinas,Mechaninė,280000,Tauragė,1500,81
Renault Megane,2012,Kupė (Coupe),3950.0,Dyzelinas,Automatinė,270000,Vilnius,1500,81
Renault Megane,2012,Hečbekas,4000.0,Dyzelinas,Mechaninė,250000,Tauragė,1500,81
Renault Megane,2008,Kabrioletas,4100.0,Benzinas,Automatinė,65749,Marijampolė,1600,82
Renault Megane,2015,Universalas,4300.0,Dyzelinas,Mechaninė,275000,Tauragė,1500,81
Renault Megane,2020,Hečbekas,4600.0,Dyzelinas,Mechaninė,103000,Kaunas,1500,85
Renault Megane,2014,Universalas,4650.0,Benzinas,Mechaninė,168000,Vilnius,1200,85
