iter	RMSE
402	61583829.35
403	61506032.29
404	61447972.87
405	61417470.68
406	61320721.19
407	61216128.63
408	61114414.46
409	61014395.05
410	60917895.45
411	60843239.54
412	60773387.01
413	60674543.86
414	60578633.92
415	60550189.07
416	60483347.04
417	60399643.78
418	60308325.88
419	60248475.56
420	60156771.13
421	60062059.74
422	59970199.16
423	59917559.33
424	59824324.37
425	59784626.26
426	59695884.34
427	59638772.8
428	59552855.38
429	59465765.02
430	59411384.13
431	59326697.81
432	59240822.35
433	59185510.37
434	59132296.35
435	59079323.16
436	58995091.53
437	58905953.34
438	58819467.76
439	58735751.6
440	58651215.28
441	58569812.3
442	58523556.29
443	58473166.72
444	58415863.38
445	58330433.68
446	58251321.17
447	58190372.22
448	58135231.71
449	58086774.28
450	58031431.57
451	57948706.02
452	57884130.8
453	57808908.59
454	57781785.86
455	57711158.33
456	57677911.47
457	57629491.88
458	57563386.28
459	57510277.39
460	57456209.21
461	57379327.21
462	57300968.15
463	57223277.3
464	57167127.86
465	57137954.88
466	57066659.53
467	56992394.67
468	56971955.65
469	56927040.83
470	56851883.97
471	56804117.67
472	56732966.65
473	56665560.6
474	56598659.72
475	56551711.97
476	56481619.62
477	56436338.51
478	56399356.12
479	56329556.99
480	56292368.66
481	56221583.95
482	56157271.38
483	56098662.69
484	56061881.49
485	56022404.9
486	55959704.6
487	55910823.16
488	55844278.72
489	55779018.6
490	55732107.38
491	55671331.14
492	55644525.62
493	55596298.7
494	55534474.22
495	55494788.8
496	55432473.24
497	55369305.19
498	55315617.19
499	55262225.4
